date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:04	33189/33189	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Mar%202021%2015:45:24%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/brittany/pp8-mxt/brittany-carantec2020alamoureuxmg0433720x480jpg.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/brittany/pp8-mxt/brittany-carantec2020alamoureuxmg0433720x480jpg.jpg	(from )
15:05:04	70963/70963	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Apr%202021%2014:49:25%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/compiegne/pp12-onf/compiegnecopyright_jeanguy_hallo_stpierre_ponds_site.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/compiegne/pp12-onf/compiegnecopyright_jeanguy_hallo_stpierre_ponds_site.jpg	(from )
15:05:04	48781/48781	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Mar%202021%2015:40:26%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/pas-de-calais/pp4-pdct/photo-flament-fraises-de-samer-la-ferme-de-bellozanne-maxime-et-adeline-vasseur-producteurs9061720x4.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/pas-de-calais/pp4-pdct/photo-flament-fraises-de-samer-la-ferme-de-bellozanne-maxime-et-adeline-vasseur-producteurs9061720x4.jpg	(from )
15:05:04	57435/57435	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Mar%202021%2015:37:22%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/kent/kentds8984-astronomers--bonfire720x480.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/kent/kentds8984-astronomers--bonfire720x480.jpg	(from )
15:05:04	21344/21344	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:50%20GMT	https://www.tourismexperience.org/sustainable-tourism	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/sustainable-tourism.html	(from )
15:05:05	33265/33265	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Mar%202021%2007:40:45%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/backgrounds/chestnut-bg.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/backgrounds/chestnut-bg.jpg	(from )
15:05:05	15022/15022	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Mar%202021%2010:58:20%20GMT	https://www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/map/norfolkimg.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/map/norfolkimg.jpg	(from )
15:05:05	81154/81154	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:51%20GMT	https://www.tourismexperience.org/regions/norfolk	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/regions/norfolk.html	(from )
15:05:05	13696/13696	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Apr%202021%2007:36:49%20GMT	https://www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/logos/footer-eu-logo.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/logos/footer-eu-logo.png	(from )
15:05:06	6415/6415	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Apr%202021%2012:15:23%20GMT	https://www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/logos/footer-interreg-logo.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/logos/footer-interreg-logo.png	(from )
15:05:06	6219/6219	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/logo_eg.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/logo_eg.png	(from )
15:05:06	13100/13100	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/kent-county-council.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/kent-county-council.png	(from )
15:05:06	5808/5808	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/visit-kent.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/visit-kent.png	(from )
15:05:06	10700/10700	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/university-of-surrey.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/university-of-surrey.png	(from )
15:05:07	8189/8189	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/cornwall-council.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/cornwall-council.png	(from )
15:05:07	3662/3662	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/we-are-cycling.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/we-are-cycling.png	(from )
15:05:07	34418/34418	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/pas-de-calais.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/pas-de-calais.png	(from )
15:05:07	4942/4942	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/calais-dept.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/calais-dept.png	(from )
15:05:08	7540/7540	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/arc.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/arc.png	(from )
15:05:08	11680/11680	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/cad.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/cad.png	(from )
15:05:08	8819/8819	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/baie-de-morlaix.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/baie-de-morlaix.png	(from )
15:05:08	7907/7907	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/office-des-forets.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/office-des-forets.png	(from )
15:05:08	8331/8331	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/morlaix-communaute.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/morlaix-communaute.png	(from )
15:05:09	8621/8621	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/logos/brittany-ferries.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/logos/brittany-ferries.png	(from )
15:05:09	548390/548390	---MC-	200	added ('OK')	text/javascript	date:Mon,%2004%20Mar%202024%2013:04:55%20GMT	https://www.tourismexperience.org/bundles/euexperience/js?v=eeD2bF1gqt1y3OsEi4uvOQl380cthcfEN-SqV5mpTvQ1	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/bundles/euexperience/js88dfhtml.html	(from )
15:05:09	416402/416402	---M--	200	added ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/img/stageback.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/img/stageback.png	(from https://www.tourismexperience.org/)
15:05:09	9953/9953	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Mar%202021%2011:47:44%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/backgrounds/leaf-bg.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/backgrounds/leaf-bg.jpg	(from https://www.tourismexperience.org/)
15:05:10	59009/59009	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Mar%202021%2015:45:26%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/brittany/pp8-mxt/brittany-plougasnou5919720x480.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/brittany/pp8-mxt/brittany-plougasnou5919720x480.jpg	(from https://www.tourismexperience.org/)
15:05:10	19438/19438	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:56%20GMT	https://www.tourismexperience.org/resources-hub/best-practice-guide	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/resources-hub/best-practice-guide.html	(from https://www.tourismexperience.org/)
15:05:10	24680/24680	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:56%20GMT	https://www.tourismexperience.org/resources-hub/regional-evaluation-reports	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/resources-hub/regional-evaluation-reports.html	(from https://www.tourismexperience.org/)
15:05:10	23273/23273	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:56%20GMT	https://www.tourismexperience.org/resources-hub/regional-marketing-reports	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/resources-hub/regional-marketing-reports.html	(from https://www.tourismexperience.org/)
15:05:11	48021/48021	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2013:30:51%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/resources-hub/case-study-fit.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/resources-hub/case-study-fit.jpg	(from https://www.tourismexperience.org/)
15:05:11	7227/7227	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Dec%202021%2009:12:40%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/resources-hub/chapter-pics/chapter-1-gc-xs.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/resources-hub/chapter-pics/chapter-1-gc-xs.jpg	(from https://www.tourismexperience.org/)
